worker_id,platform,location,earnings_per_day,hours_worked,jobs_completed,rating,date,earnings_outlier_flag,earnings_per_day_was_missing,hours_worked_was_missing,jobs_completed_was_missing,rating_was_missing,year,month,day,day_of_week,is_weekend
252,Zomato,Mumbai,870.0,10.0,33,4.5,2024-05-05,0,0,0,0,0,2024,5,5,6,1
253,Uber,Bangalore,1150.0,9.0,37,4.6,2024-05-06,0,0,0,0,0,2024,5,6,0,0
254,Swiggy,Pune,460.0,8.0,21,4.1,2024-05-06,0,0,0,0,0,2024,5,6,0,0
255,Freelancer,Delhi,3000.0,10.0,8,4.8,2024-05-07,0,0,0,0,0,2024,5,7,1,0
256,Uber,Chennai,890.0,10.0,40,4.4,2024-05-07,0,0,0,1,0,2024,5,7,1,0
257,Swiggy,Pune,410.0,9.0,22,4.0,2024-05-08,0,1,0,0,0,2024,5,8,2,0
258,Zomato,Mumbai,790.0,11.0,30,4.4,2024-05-08,0,0,0,0,0,2024,5,8,2,0
259,Uber,Bangalore,1400.0,12.0,43,4.8,2024-05-09,0,0,0,0,0,2024,5,9,3,0
260,Freelancer,Delhi,90000.0,6.0,2,4.7,2024-05-09,0,0,0,0,1,2024,5,9,3,0
261,Swiggy,Delhi,280.0,6.0,14,4.1,2024-05-10,0,0,0,0,0,2024,5,10,4,0
262,Zomato,Mumbai,910.0,11.0,36,4.6,2024-05-10,0,0,0,0,0,2024,5,10,4,0
263,Uber,Bangalore,1650.0,13.0,50,4.9,2024-05-11,0,0,0,0,0,2024,5,11,5,1
264,Swiggy,Pune,470.0,0.0,20,4.1,2024-05-11,0,0,0,0,0,2024,5,11,5,1
265,Freelancer,Delhi,3400.0,8.0,3,4.7,2024-05-12,0,0,0,1,0,2024,5,12,6,1
266,Uber,Chennai,920.0,10.0,34,4.8,2024-05-12,0,0,0,0,1,2024,5,12,6,1
267,Swiggy,Pune,410.0,7.0,20,4.0,2024-05-13,0,1,0,0,0,2024,5,13,0,0
268,Zomato,Mumbai,780.0,9.0,28,4.3,2024-05-13,0,0,0,0,0,2024,5,13,0,0
269,Uber,Bangalore,1500.0,12.0,45,4.8,2024-05-14,0,0,0,0,0,2024,5,14,1,0
270,Freelancer,Delhi,100000.0,5.0,1,4.7,2024-05-14,0,0,0,0,1,2024,5,14,1,0
271,Swiggy,Delhi,300.0,7.0,15,4.2,2024-05-15,0,0,0,0,0,2024,5,15,2,0
272,Zomato,Mumbai,860.0,10.0,32,4.5,2024-05-15,0,0,0,0,0,2024,5,15,2,0
273,Uber,Bangalore,1100.0,9.0,36,4.6,2024-05-16,0,0,0,0,0,2024,5,16,3,0
274,Swiggy,Pune,480.0,8.0,21,4.1,2024-05-16,0,0,0,0,0,2024,5,16,3,0
275,Freelancer,Delhi,2900.0,8.0,7,4.7,2024-05-17,0,0,0,0,0,2024,5,17,4,0
276,Uber,Chennai,930.0,10.0,34,4.5,2024-05-17,0,0,0,0,0,2024,5,17,4,0
277,Swiggy,Pune,410.0,7.0,19,4.0,2024-05-18,0,1,0,0,0,2024,5,18,5,1
278,Zomato,Mumbai,770.0,9.0,29,4.3,2024-05-18,0,0,0,0,0,2024,5,18,5,1
279,Uber,Bangalore,1450.0,11.0,41,4.8,2024-05-19,0,0,0,0,0,2024,5,19,6,1
280,Freelancer,Delhi,120000.0,6.0,2,4.7,2024-05-19,0,0,0,0,1,2024,5,19,6,1
281,Swiggy,Delhi,260.0,6.0,13,4.1,2024-05-20,0,0,0,0,0,2024,5,20,0,0
282,Zomato,Mumbai,890.0,11.0,35,4.6,2024-05-20,0,0,0,0,0,2024,5,20,0,0
283,Uber,Bangalore,1750.0,13.0,53,4.9,2024-05-21,0,0,0,0,0,2024,5,21,1,0
284,Swiggy,Pune,500.0,0.0,22,4.1,2024-05-21,0,0,0,0,0,2024,5,21,1,0
285,Freelancer,Delhi,3200.0,9.0,3,4.7,2024-05-22,0,0,0,1,0,2024,5,22,2,0
286,Uber,Chennai,940.0,10.0,35,4.8,2024-05-22,0,0,0,0,1,2024,5,22,2,0
287,Swiggy,Pune,410.0,8.0,20,4.0,2024-05-23,0,1,0,0,0,2024,5,23,3,0
288,Zomato,Mumbai,750.0,10.0,30,4.3,2024-05-23,0,0,0,0,0,2024,5,23,3,0
289,Uber,Bangalore,1550.0,12.0,46,4.8,2024-05-24,0,0,0,0,0,2024,5,24,4,0
290,Freelancer,Delhi,150000.0,5.0,1,4.7,2024-05-24,0,0,0,0,1,2024,5,24,4,0
291,Swiggy,Delhi,310.0,7.0,16,4.2,2024-05-25,0,0,0,0,0,2024,5,25,5,1
292,Zomato,Mumbai,870.0,10.0,33,4.5,2024-05-25,0,0,0,0,0,2024,5,25,5,1
293,Uber,Bangalore,1150.0,9.0,37,4.6,2024-05-26,0,0,0,0,0,2024,5,26,6,1
294,Swiggy,Pune,460.0,8.0,21,4.1,2024-05-26,0,0,0,0,0,2024,5,26,6,1
295,Freelancer,Delhi,3000.0,10.0,8,4.8,2024-05-27,0,0,0,0,0,2024,5,27,0,0
296,Uber,Chennai,890.0,10.0,40,4.4,2024-05-27,0,0,0,1,0,2024,5,27,0,0
297,Swiggy,Pune,410.0,9.0,22,4.0,2024-05-28,0,1,0,0,0,2024,5,28,1,0
298,Zomato,Mumbai,790.0,11.0,30,4.4,2024-05-28,0,0,0,0,0,2024,5,28,1,0
299,Uber,Bangalore,1400.0,12.0,43,4.8,2024-05-29,0,0,0,0,0,2024,5,29,2,0
300,Freelancer,Delhi,200000.0,6.0,2,4.7,2024-05-29,0,0,0,0,1,2024,5,29,2,0
301,Swiggy,Delhi,280.0,6.0,14,4.1,2024-05-30,0,0,0,0,0,2024,5,30,3,0
302,Zomato,Mumbai,910.0,11.0,36,4.6,2024-05-30,0,0,0,0,0,2024,5,30,3,0
303,Uber,Bangalore,1650.0,13.0,50,4.9,2024-05-31,0,0,0,0,0,2024,5,31,4,0
304,Swiggy,Pune,470.0,0.0,20,4.1,2024-05-31,0,0,0,0,0,2024,5,31,4,0
305,Freelancer,Delhi,3400.0,8.0,3,4.7,2024-06-01,0,0,0,1,0,2024,6,1,5,1
306,Uber,Chennai,920.0,10.0,34,4.8,2024-06-01,0,0,0,0,1,2024,6,1,5,1
307,Swiggy,Pune,410.0,7.0,20,4.0,2024-06-02,0,1,0,0,0,2024,6,2,6,1
308,Zomato,Mumbai,780.0,9.0,28,4.3,2024-06-02,0,0,0,0,0,2024,6,2,6,1
309,Uber,Bangalore,1500.0,12.0,45,4.8,2024-06-03,0,0,0,0,0,2024,6,3,0,0
310,Freelancer,Delhi,250000.0,5.0,1,4.7,2024-06-03,0,0,0,0,1,2024,6,3,0,0
311,Swiggy,Delhi,300.0,7.0,15,4.2,2024-06-04,0,0,0,0,0,2024,6,4,1,0
312,Zomato,Mumbai,880.0,10.0,34,4.5,2024-06-04,0,0,0,0,0,2024,6,4,1,0
313,Uber,Bangalore,1200.0,9.0,38,4.6,2024-06-05,0,0,0,0,0,2024,6,5,2,0
314,Swiggy,Pune,480.0,8.0,21,4.1,2024-06-05,0,0,0,0,0,2024,6,5,2,0
315,Freelancer,Delhi,3200.0,6.0,9,4.7,2024-06-06,0,0,1,0,0,2024,6,6,3,0
316,Uber,Chennai,900.0,10.0,40,4.4,2024-06-06,0,0,0,1,0,2024,6,6,3,0
317,Swiggy,Pune,410.0,9.0,22,4.0,2024-06-07,0,1,0,0,0,2024,6,7,4,0
318,Zomato,Mumbai,760.0,11.0,30,4.4,2024-06-07,0,0,0,0,0,2024,6,7,4,0
319,Uber,Bangalore,1450.0,12.0,44,4.8,2024-06-08,0,0,0,0,0,2024,6,8,5,1
320,Freelancer,Delhi,300000.0,5.0,1,4.7,2024-06-08,0,0,0,0,1,2024,6,8,5,1
321,Swiggy,Delhi,280.0,6.0,14,4.1,2024-06-09,0,0,0,0,0,2024,6,9,6,1
322,Zomato,Mumbai,910.0,11.0,36,4.6,2024-06-09,0,0,0,0,0,2024,6,9,6,1
323,Uber,Bangalore,1700.0,13.0,50,4.9,2024-06-10,0,0,0,0,0,2024,6,10,0,0
324,Swiggy,Pune,470.0,0.0,20,4.1,2024-06-10,0,0,0,0,0,2024,6,10,0,0
325,Freelancer,Delhi,3500.0,8.0,3,4.7,2024-06-11,0,0,0,1,0,2024,6,11,1,0
326,Uber,Chennai,920.0,10.0,34,4.8,2024-06-11,0,0,0,0,1,2024,6,11,1,0
327,Swiggy,Pune,410.0,7.0,20,4.0,2024-06-12,0,1,0,0,0,2024,6,12,2,0
328,Zomato,Mumbai,780.0,9.0,28,4.3,2024-06-12,0,0,0,0,0,2024,6,12,2,0
329,Uber,Bangalore,1500.0,12.0,45,4.8,2024-06-13,0,0,0,0,0,2024,6,13,3,0
330,Freelancer,Delhi,180000.0,5.0,1,4.7,2024-06-13,0,0,0,0,1,2024,6,13,3,0
331,Swiggy,Delhi,310.0,7.0,16,4.2,2024-06-14,0,0,0,0,0,2024,6,14,4,0
332,Zomato,Mumbai,870.0,10.0,33,4.5,2024-06-14,0,0,0,0,0,2024,6,14,4,0
333,Uber,Bangalore,1100.0,9.0,36,4.6,2024-06-15,0,0,0,0,0,2024,6,15,5,1
334,Swiggy,Pune,460.0,8.0,21,4.1,2024-06-15,0,0,0,0,0,2024,6,15,5,1
335,Freelancer,Delhi,2900.0,6.0,8,4.7,2024-06-16,0,0,1,0,0,2024,6,16,6,1
336,Uber,Chennai,890.0,10.0,40,4.4,2024-06-16,0,0,0,1,0,2024,6,16,6,1
337,Swiggy,Pune,410.0,9.0,22,4.0,2024-06-17,0,1,0,0,0,2024,6,17,0,0
338,Zomato,Mumbai,790.0,11.0,30,4.4,2024-06-17,0,0,0,0,0,2024,6,17,0,0
339,Uber,Bangalore,1400.0,12.0,43,4.8,2024-06-18,0,0,0,0,0,2024,6,18,1,0
340,Freelancer,Delhi,220000.0,6.0,2,4.7,2024-06-18,0,0,0,0,1,2024,6,18,1,0
341,Swiggy,Delhi,270.0,6.0,13,4.1,2024-06-19,0,0,0,0,0,2024,6,19,2,0
342,Zomato,Mumbai,900.0,11.0,35,4.6,2024-06-19,0,0,0,0,0,2024,6,19,2,0
343,Uber,Bangalore,1600.0,13.0,50,4.9,2024-06-20,0,0,0,0,0,2024,6,20,3,0
344,Swiggy,Pune,500.0,0.0,22,4.1,2024-06-20,0,0,0,0,0,2024,6,20,3,0
345,Freelancer,Delhi,3300.0,8.0,3,4.7,2024-06-21,0,0,0,1,0,2024,6,21,4,0
346,Uber,Chennai,940.0,10.0,35,4.8,2024-06-21,0,0,0,0,1,2024,6,21,4,0
347,Swiggy,Pune,410.0,8.0,20,4.0,2024-06-22,0,1,0,0,0,2024,6,22,5,1
348,Zomato,Mumbai,750.0,10.0,30,4.3,2024-06-22,0,0,0,0,0,2024,6,22,5,1
349,Uber,Bangalore,1550.0,12.0,46,4.8,2024-06-23,0,0,0,0,0,2024,6,23,6,1
350,Freelancer,Delhi,362000.00000000047,5.0,1,4.7,2024-06-23,1,0,0,0,1,2024,6,23,6,1
